ID,Round,Block,BlockName,BlockID,Group,Question,AnswerA,AnswerB,AnswerC,AnswerD,AnswerE,Correct Answer,Comment
1,0,1,Пробный тест,1,3,I have never come … a person like Steve.,across,out,about,,,A,
2,0,1,Пробный тест,2,3,"Go … , we are all listening.",back,ahead, forward,,,B,
3,0,1,Пробный тест,3,3,"Excuse me, what’s the time, please?",I’m late.,I don’t have time. ,"Sorry, I don’t have a watch.",,,C,
4,0,1,Пробный тест,4,3,Look! It … .,snows ,snowed, is snowing,,,C,
5,0,1,Пробный тест,5,3,"When we were in Spain last year, we … at a marvelous hotel.",stayed,stopped,lived,,,A,
6,0,2,Пробный тест,1,3,Which is not a preposition of place?,Never,Opposite, Next to,,,A,
7,0,2,Пробный тест,2,3,We agreed to … in front of the theatre.,meat ,neat,meet,,,C,
8,0,2,Пробный тест,3,3,"Can I have a … of cake, please? ",bar,glass ,piece,,,C,
9,0,2,Пробный тест,4,3,Where … last Saturday? I went out with Cindy.,did you went,do you go ,did you go,,,C,
10,0,2,Пробный тест,5,3,I have got … friends at school. ,many,much,a,,,A,
11,0,3,Пробный тест,1,3,I always … music when I study., listen to,listen at,listen,,,A,
12,0,3,Пробный тест,2,3,I didn’t have time … beds this morning.,to do,to make, to clean,,,B,
13,0,3,Пробный тест,3,3,"Sorry, he is not … home. ",in,at,to,,,B,
14,0,3,Пробный тест,4,3,Ann … speak English very well. ,cans,can,can to,,,B,
15,0,3,Пробный тест,5,3,But nobody is afraid … him.,of,about,in,,,A,
16,0,4,Пробный тест,1,3,I … my homework because I left my book in school. ,can't to do,can't do ,don't make,,,B,
17,0,4,Пробный тест,2,3,Last week John … his leg. ,fell and broke,felt and broke,fallen and broken,,,A,
18,0,4,Пробный тест,3,3,She is the … person for that job. ,write,right,ride,,,B,
19,0,4,Пробный тест,4,3,It is traditional in Britain to have three … for dinner in a restaurant.,plates,dishes,courses,,,C,
20,0,4,Пробный тест,5,3,He knows the poem by … . ,head,memory,heart,,,C,
21,0,5,Пробный тест,1,3,Jackie goes to sleep … 11:30 in the evening.,on,at,in,,,B,
22,0,5,Пробный тест,2,3,How long does it take to … to Moscow ? ,get,arrive,make,,,A,
23,0,5,Пробный тест,3,3,I saw many … in the village.,goose,gooses,geese,,,C,
24,0,5,Пробный тест,4,3,"It has one face and two hands, it goes and yet it stands.",A clock,A baby,A doll,,,A,
25,0,5,Пробный тест,5,3,When horses sleep they … .,lie,stand,don’t stand,,,B,
26,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",1,3,There are a lot of journalists outside. What's … ? , carrying on , coming across , going on,,,C,
27,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",2,3,"""You … lies!” his father said. ", mustn't say , mustn't tell , don't have to say,,,B,
28,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",3,3,I always feel very nervous when I have to … a speech. , make , do , perform,,,A,
29,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",4,3,She really takes … her mother. , at , after , about,,,B,
30,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",5,3,He seemed quite taken … by the news. , aback , along , about,,,A,
31,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",6,3,Children under 16 … up half the population of the city. , make , fix , take,,,A,
32,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",7,3,Her parents died and she was … up by her grandmother. , taken , brought , kept,,,B,
33,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",8,3,He has … up photography. , taken , kept , made,,,A,
34,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",9,3,You’re walking too fast. I can’t … up with you. , go , turn , keep,,,C,
35,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",10,3,"We arranged to meet Dave last night, but he didn’t … up. ", take , turn , catch,,,B,
36,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",11,3,I’m … my holiday next August. , looking after , looking forward to , waiting for,,,B,
37,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",12,3,Jane knows the subject … . , from cover to cover , inside out , like hell,,,B,
38,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",13,3,To catch somebody … . , red-handed , blue-eyed , short-handed,,,A,
39,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",14,3,It happened ‘out of the blue’ means … . , it was unexpected , it was painful , it happened from time to time,,,A,
40,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",15,3,He’s playing first fiddle means he’s a … . ,good musician ,conductor ,leader,,,C,
41,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",16,3,If you do something at the last moment it means you do it … . , at the tenth hour , at the twelfth hour , at the eleventh hour,,,C,
42,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",17,3,To keep fingers crossed means … . , to wish good luck , to envy , to be angry,,,A,
43,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",18,3,To eat like a bird means … . , to eat a lot , to eat a little , to eat grain,,,B,
44,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",19,3,To work round the clock means to work … . , all day , near the clock , from time to time,,,A,
45,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",20,3,"The rival hit him in the eye, so now he has a … . ", purple eye , blue eye , black eye,,,C,
46,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",21,3,"– What’s the matter with you? - Oh, nothing, really. I’m just … this morning. ", a little off , barking up the wrong tree , a bit down,,,C,
47,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",22,3,The teacher told him to … his work instead of looking out of the window. , get on with , get rid of , look for,,,A,
48,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",23,3,We have a lot of orders at the moment; we’ll have to … extra staff to deal with them. , take on , take up , pick up,,,A,
49,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",24,3,My cold is slowly getting better but I still feel … . , like a fish out of water , going round the circles , under the weather,,,C,
50,1,1,"Пословицы, идиомы, устойчивые сочетания, фразовые глаголы",25,3,I can’t … it. It’s a complete mystery to me. , make up for , make head or tail of , find out,,,B,
51,1,2,«Времена» глагола,1,3,It annoys me that he … . , always smile , will smiled , is always smiling,,,C,
52,1,2,«Времена» глагола,2,3,"I … a friend called Bob, but we've stopped writing to each other. ", used to have , was having , would have,,,A,
53,1,2,«Времена» глагола,3,3,"I'm sorry, she's not here. She … on holiday this week. ", had been gone , has gone , has been ,,,B,
54,1,2,«Времена» глагола,4,3,He … in this company since 200 , is working , works , has been working,,,C,
55,1,2,«Времена» глагола,5,3,Look out! That stack of plates … any moment now. , will fall , is going to fall , is falling,,,B,
56,1,2,«Времена» глагола,6,3,They stood and watched the child … both sandwiches. , eat , ate , had eaten ,,,A,
57,1,2,«Времена» глагола,7,3,"Mary is sick of her job. Well, I suggest that she … for a transfer. ", would ask , asks , ask,,,C,
58,1,2,«Времена» глагола,8,3,I'm sure that the gates … been locked. , has , have , had,,,B,
59,1,2,«Времена» глагола,9,3,"She is never satisfied with her work, … ? ", isn’t she , is she , doesn’t she,,,B,
60,1,2,«Времена» глагола,10,3,I’ll phone you as soon as I … from Mike. , ‘ll hear , ‘ve heard , heard,,,B,
61,1,2,«Времена» глагола,11,3,Here … the bus! , is coming , come , comes,,,C,
62,1,2,«Времена» глагола,12,3,It was Friday evening and she … preparing for the meeting on Saturday. , hasn’t finished yet , still hadn’t finished , still wasn’t finished ,,,B,
63,1,2,«Времена» глагола,13,3,"Before they finally found the restaurant, they … around the town for an hour. ", had been driving , had drove , have been driving,,,A,
64,1,2,«Времена» глагола,14,3,He … to hospital after he fell down the stairs at home. , was taken , Has been carried , was recovered,,,A,
65,1,2,«Времена» глагола,15,3,It wasn’t fair! Before the test the class … all the questions. , had been shown , was being shown , was showed,,,A,
